,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc
112, 01/05  17:00:00,1.48228502217,0.260407832695,0.255889,1.22639602217,0.215453253175,0.17568,0.14568,1.22639602217,0.884873973627
113, 01/05  18:00:00,2.0858474349,0.366441677363,0.0,2.0858474349,0.366441677363,0.17568,0.14568,2.0858474349,0.660589303208
114, 01/05  19:00:00,2.50163595499,0.439487404573,0.0,2.50163595499,0.439487404573,0.17568,0.14568,2.50163595499,0.391596189768
115, 01/05  20:00:00,2.46960107848,0.433859517467,0.0,2.46960107848,0.433859517467,0.17568,0.14568,2.46960107848,0.126047686705
116, 01/05  21:00:00,2.28963847663,0.402243687574,0.0,2.28963847663,0.402243687574,0.17568,0.14568,2.28963847663,-0.120149998954
117, 01/05  22:00:00,2.09814507133,0.163235686549,0.0,2.09814507133,0.163235686549,0.0778,0.0478,0.0,-0.120149998954
118, 01/05  23:00:00,1.72271956457,0.134027582124,0.0,1.72271956457,0.134027582124,0.0778,0.0478,0.0,-0.120149998954
119, 01/05  24:00:00,1.35089557754,0.105099675933,0.0,1.35089557754,0.105099675933,0.0778,0.0478,0.0,-0.120149998954
120, 01/06  01:00:00,0.983868869661,0.0765449980596,0.0,0.983868869661,0.0765449980596,0.0778,0.0478,0.0,-0.120149998954
121, 01/06  02:00:00,0.836588688485,0.0650865999641,0.0,0.836588688485,0.0650865999641,0.0778,0.0478,0.0,-0.120149998954
122, 01/06  03:00:00,0.781877818843,0.060830094306,0.0,0.781877818843,0.060830094306,0.0778,0.0478,0.0,-0.120149998954
123, 01/06  04:00:00,0.774811724224,0.0602803521446,0.0,0.774811724224,0.0602803521446,0.0778,0.0478,0.0,-0.120149998954
124, 01/06  05:00:00,0.786214878246,0.0611675175275,0.0,0.786214878246,0.0611675175275,0.0778,0.0478,0.0,-0.120149998954
125, 01/06  06:00:00,0.837158253215,0.0651309121001,0.0,0.837158253215,0.0651309121001,0.0778,0.0478,0.0,-0.120149998954
126, 01/06  07:00:00,1.10169380763,0.0857117782336,0.0,1.10169380763,0.0857117782336,0.0778,0.0478,0.0,-0.120149998954
127, 01/06  08:00:00,1.51698657437,0.118021555486,0.319367,1.19761957437,0.093174802886,0.0778,0.0478,0.0,-0.120149998954
128, 01/06  09:00:00,1.42947305615,0.0787496706633,1.402662,0.02681105615,0.0014770210833,0.05509,0.02509,0.0,-0.120149998954
129, 01/06  10:00:00,1.20211741716,0.0662246485113,2.36326,-1.16114258284,-0.0291330674035,0.05509,0.02509,-1.16114258284,0.00470404221183
130, 01/06  11:00:00,1.19230786824,0.0656842404613,3.003047,-1.81073913176,-0.0454314448159,0.05509,0.02509,-1.81073913176,0.199407174659
131, 01/06  12:00:00,1.16789274078,0.0643392110896,3.268001,-2.10010825922,-0.0526917162238,0.05509,0.02509,-2.10010825922,0.425225267048
132, 01/06  13:00:00,1.16097599602,0.0639581676207,3.543012,-2.38203600398,-0.0597652833399,0.05509,0.02509,-2.38203600398,0.681358170702
133, 01/06  14:00:00,1.11453172613,0.0613995527925,3.165166,-2.05063427387,-0.0514504139314,0.05509,0.02509,-2.05063427387,0.90185647972
134, 01/06  15:00:00,1.1146635627,0.0614068156691,2.50068,-1.3860164373,-0.0347751524119,0.05509,0.02509,-1.3860164373,1.05089050524
135, 01/06  16:00:00,1.20927042546,0.0666187077386,1.535506,-0.32623557454,-0.00818525056521,0.05509,0.02509,0.0,1.05089050524
136, 01/06  17:00:00,1.52103528289,0.267215478498,0.283664,1.23737128289,0.217381386978,0.17568,0.14568,1.23737128289,0.917839829657
137, 01/06  18:00:00,2.11533045383,0.371621254129,0.0,2.11533045383,0.371621254129,0.17568,0.14568,2.11533045383,0.690384942148
138, 01/06  19:00:00,2.52245057082,0.443144116282,0.0,2.52245057082,0.443144116282,0.17568,0.14568,2.52245057082,0.419153697974
139, 01/06  20:00:00,2.48239375174,0.436106934306,0.0,2.48239375174,0.436106934306,0.17568,0.14568,2.48239375174,0.152229638647
140, 01/06  21:00:00,2.28706028707,0.401790751232,0.0,2.28706028707,0.401790751232,0.17568,0.14568,2.28706028707,-0.093690822328
141, 01/06  22:00:00,2.0815146179,0.161941837273,0.0,2.0815146179,0.161941837273,0.0778,0.0478,0.0,-0.093690822328
142, 01/06  23:00:00,1.70103920057,0.132340849804,0.0,1.70103920057,0.132340849804,0.0778,0.0478,0.0,-0.093690822328
143, 01/06  24:00:00,1.32939525868,0.103426951125,0.0,1.32939525868,0.103426951125,0.0778,0.0478,0.0,-0.093690822328
144, 01/07  01:00:00,0.960210162173,0.0747043506171,0.0,0.960210162173,0.0747043506171,0.0778,0.0478,0.0,-0.093690822328
145, 01/07  02:00:00,0.815089669635,0.0634139762976,0.0,0.815089669635,0.0634139762976,0.0778,0.0478,0.0,-0.093690822328
146, 01/07  03:00:00,0.760859194338,0.0591948453195,0.0,0.760859194338,0.0591948453195,0.0778,0.0478,0.0,-0.093690822328
147, 01/07  04:00:00,0.739906017184,0.0575646881369,0.0,0.739906017184,0.0575646881369,0.0778,0.0478,0.0,-0.093690822328
148, 01/07  05:00:00,0.74099867161,0.0576496966513,0.0,0.74099867161,0.0576496966513,0.0778,0.0478,0.0,-0.093690822328
149, 01/07  06:00:00,0.800186986168,0.0622545475239,0.0,0.800186986168,0.0622545475239,0.0778,0.0478,0.0,-0.093690822328
150, 01/07  07:00:00,1.06326852231,0.0827222910357,0.0,1.06326852231,0.0827222910357,0.0778,0.0478,0.0,-0.093690822328
151, 01/07  08:00:00,1.49010974891,0.115930538465,0.131899,1.35821074891,0.105668796265,0.0778,0.0478,0.0,-0.093690822328
152, 01/07  09:00:00,1.41326335731,0.0778566783542,0.860973,0.55229035731,0.0304256757842,0.05509,0.02509,0.0,-0.093690822328
153, 01/07  10:00:00,1.20677394126,0.066481176424,2.065719,-0.85894505874,-0.0215509315238,0.05509,0.02509,-0.85894505874,-0.00133113859247
154, 01/07  11:00:00,1.19570069294,0.0658711511741,3.010224,-1.81452330706,-0.0455263897741,0.05509,0.02509,-1.81452330706,0.193778894425
155, 01/07  12:00:00,1.20600081393,0.0664385848394,3.285205,-2.07920418607,-0.0521672330285,0.05509,0.02509,-2.07920418607,0.417349237013
156, 01/07  13:00:00,1.18001088051,0.0650067994073,3.500119,-2.32010811949,-0.058211512718,0.05509,0.02509,-2.32010811949,0.666823228356
157, 01/07  14:00:00,1.14996856309,0.0633517681406,3.244983,-2.09501443691,-0.0525639122221,0.05509,0.02509,-2.09501443691,0.892093597916
158, 01/07  15:00:00,1.14474285172,0.0630638837013,2.511273,-1.36653014828,-0.0342862414203,0.05509,0.02509,-1.36653014828,1.03903232354
159, 01/07  16:00:00,1.22590522503,0.0675351188469,1.547634,-0.32172877497,-0.008072174964,0.05509,0.02509,0.0,1.03903232354
160, 01/07  17:00:00,1.5346336977,0.269604448012,0.291966,1.2426676977,0.218311861132,0.17568,0.14568,1.2426676977,0.905412140989
161, 01/07  18:00:00,2.14017273966,0.375985546903,0.0,2.14017273966,0.375985546903,0.17568,0.14568,2.14017273966,0.675286039951
162, 01/07  19:00:00,2.54537852262,0.447172098854,0.0,2.54537852262,0.447172098854,0.17568,0.14568,2.54537852262,0.401589424615
163, 01/07  20:00:00,2.50877332305,0.440741297393,0.0,2.50877332305,0.440741297393,0.17568,0.14568,2.50877332305,0.131828852244
164, 01/07  21:00:00,2.32014305225,0.407602731419,0.0,2.32014305225,0.407602731419,0.17568,0.14568,2.32014305225,-0.11764889531
165, 01/07  22:00:00,2.11510418758,0.164555105794,0.0,2.11510418758,0.164555105794,0.0778,0.0478,0.0,-0.11764889531
