,Date/Time,Load,Bill Before Solar,Solar,Net Load Solar Only,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,Net Load (Solar and Storage),Bill PV + ESS,ESS Savings,yearly total savings
87, 01/04  16:00:00,1.11624891748,0.061494152864,1.456965,-0.34071608252,-0.00854856651043,0.05509,0.02509,-0.34071608252,0.740545498911,0.0,0.0,0.061494152864,1141.72253889
88, 01/04  17:00:00,1.46454689935,0.257291599278,0.0,1.46454689935,0.257291599278,0.17568,0.14568,1.46454689935,0.592817889068,0.0,0.0,0.257291599278,1141.72253889
89, 01/04  18:00:00,2.09554947809,0.368146132311,0.0,2.09554947809,0.368146132311,0.17568,0.14568,2.09554947809,0.381441581594,0.0,0.0,0.368146132311,1141.72253889
90, 01/04  19:00:00,2.54135081209,0.446464510668,0.0,2.54135081209,0.446464510668,0.17568,0.14568,2.54135081209,0.12509766976,0.0,0.0,0.446464510668,1141.72253889
91, 01/04  20:00:00,2.52126690706,0.442936170232,0.0,2.52126690706,0.442936170232,0.17568,0.14568,2.52126690706,-0.129220395521,0.0,0.0,0.442936170232,1141.72253889
92, 01/04  21:00:00,2.33829011051,0.410790806614,0.0,2.33829011051,0.410790806614,0.17568,0.14568,0.0,-0.129220395521,2.33829011051,0.410790806614,0.0,1141.72253889
93, 01/04  22:00:00,2.14395811241,0.166799941145,0.0,2.14395811241,0.166799941145,0.0778,0.0478,0.0,-0.129220395521,2.14395811241,0.166799941145,0.0,1141.72253889
94, 01/04  23:00:00,1.76573450472,0.137374144467,0.0,1.76573450472,0.137374144467,0.0778,0.0478,0.0,-0.129220395521,1.76573450472,0.137374144467,0.0,1141.72253889
95, 01/04  24:00:00,1.41463270212,0.110058424225,0.0,1.41463270212,0.110058424225,0.0778,0.0478,0.0,-0.129220395521,1.41463270212,0.110058424225,1.38777878078e-17,1141.72253889
96, 01/05  01:00:00,1.05888911678,0.0823815732855,0.0,1.05888911678,0.0823815732855,0.0778,0.0478,0.0,-0.129220395521,1.05888911678,0.0823815732855,-2.77555756156e-17,1141.72253889
97, 01/05  02:00:00,0.91509113842,0.0711940905691,0.0,0.91509113842,0.0711940905691,0.0778,0.0478,0.0,-0.129220395521,0.91509113842,0.0711940905691,1.38777878078e-17,1141.72253889
98, 01/05  03:00:00,0.864585084545,0.0672647195776,0.0,0.864585084545,0.0672647195776,0.0778,0.0478,0.0,-0.129220395521,0.864585084545,0.0672647195776,1.38777878078e-17,1141.72253889
99, 01/05  04:00:00,0.87911594625,0.0683952206182,0.0,0.87911594625,0.0683952206182,0.0778,0.0478,0.0,-0.129220395521,0.87911594625,0.0683952206182,0.0,1141.72253889
100, 01/05  05:00:00,0.887617188131,0.0690566172366,0.0,0.887617188131,0.0690566172366,0.0778,0.0478,0.0,-0.129220395521,0.887617188131,0.0690566172366,0.0,1141.72253889
101, 01/05  06:00:00,0.956389324936,0.07440708948,0.0,0.956389324936,0.07440708948,0.0778,0.0478,0.0,-0.129220395521,0.956389324936,0.07440708948,-2.77555756156e-17,1141.72253889
102, 01/05  07:00:00,1.23018030171,0.095708027473,0.0,1.23018030171,0.095708027473,0.0778,0.0478,0.0,-0.129220395521,1.23018030171,0.095708027473,2.77555756156e-17,1141.72253889
103, 01/05  08:00:00,1.65796759371,0.128989878791,0.0,1.65796759371,0.128989878791,0.0778,0.0478,0.0,-0.129220395521,1.65796759371,0.128989878791,0.0,1141.72253889
104, 01/05  09:00:00,1.49694806145,0.0824668687053,0.697659,0.79928906145,0.0440328343953,0.05509,0.02509,0.0,-0.129220395521,0.79928906145,0.0440328343953,0.03843403431,1141.72253889
105, 01/05  10:00:00,1.22136883009,0.0672852088497,1.879932,-0.65856316991,-0.016523349933,0.05509,0.02509,-0.65856316991,-0.0627916843174,0.0,0.0,0.0672852088497,1141.72253889
106, 01/05  11:00:00,1.16615337477,0.0642433894161,2.511773,-1.34561962523,-0.033761596397,0.05509,0.02509,-1.34561962523,0.0729398317452,0.0,0.0,0.0642433894161,1141.72253889
107, 01/05  12:00:00,1.12636090187,0.062051222084,3.165382,-2.03902109813,-0.0511590393521,0.05509,0.02509,-2.03902109813,0.278614169235,0.0,0.0,0.062051222084,1141.72253889
108, 01/05  13:00:00,1.07329769469,0.0591279700005,3.221261,-2.14796330531,-0.0538923993302,0.05509,0.02509,-2.14796330531,0.49527741523,0.0,0.0,0.0591279700005,1141.72253889
109, 01/05  14:00:00,1.02222851161,0.0563145687046,2.923316,-1.90108748839,-0.0476982850837,0.05509,0.02509,-1.90108748839,0.687038505904,0.0,0.0,0.0563145687046,1141.72253889
110, 01/05  15:00:00,1.02653392061,0.0565517536864,2.408162,-1.38162807939,-0.0346650485119,0.05509,0.02509,-1.38162807939,0.826402164351,0.0,0.0,0.0565517536864,1141.72253889
111, 01/05  16:00:00,1.11624891748,0.061494152864,1.597588,-0.48133908252,-0.0120767975804,0.05509,0.02509,-0.48133908252,0.874954431415,0.0,0.0,0.061494152864,1141.72253889
112, 01/05  17:00:00,1.46844630124,0.257976646202,0.0,1.46844630124,0.257976646202,0.17568,0.14568,1.46844630124,0.726833492193,0.0,0.0,0.257976646202,1141.72253889
113, 01/05  18:00:00,2.08892057373,0.366981566393,0.0,2.08892057373,0.366981566393,0.17568,0.14568,2.08892057373,0.516125836709,0.0,0.0,0.366981566393,1141.72253889
114, 01/05  19:00:00,2.52869761233,0.444241596534,0.0,2.52869761233,0.444241596534,0.17568,0.14568,2.52869761233,0.261058242457,0.0,0.0,0.444241596534,1141.72253889
115, 01/05  20:00:00,2.51091617869,0.441117754272,0.0,2.51091617869,0.441117754272,0.17568,0.14568,2.51091617869,0.00778424641132,0.0,0.0,0.441117754272,1141.72253889
116, 01/05  21:00:00,2.34053101544,0.411184488792,0.0,2.34053101544,0.411184488792,0.17568,0.14568,0.0,0.00778424641132,2.34053101544,0.411184488792,5.55111512313e-17,1141.72253889
117, 01/05  22:00:00,2.12852989154,0.165599625562,0.0,2.12852989154,0.165599625562,0.0778,0.0478,0.0,0.00778424641132,2.12852989154,0.165599625562,2.77555756156e-17,1141.72253889
118, 01/05  23:00:00,1.76833192765,0.137576223971,0.0,1.76833192765,0.137576223971,0.0778,0.0478,0.0,0.00778424641132,1.76833192765,0.137576223971,0.0,1141.72253889
119, 01/05  24:00:00,1.40961030167,0.10966768147,0.0,1.40961030167,0.10966768147,0.0778,0.0478,0.0,0.00778424641132,1.40961030167,0.10966768147,1.38777878078e-17,1141.72253889
120, 01/06  01:00:00,1.04184980099,0.081055914517,0.0,1.04184980099,0.081055914517,0.0778,0.0478,0.0,0.00778424641132,1.04184980099,0.081055914517,0.0,1141.72253889
121, 01/06  02:00:00,0.907799600948,0.0706268089538,0.0,0.907799600948,0.0706268089538,0.0778,0.0478,0.0,0.00778424641132,0.907799600948,0.0706268089538,0.0,1141.72253889
122, 01/06  03:00:00,0.863308977409,0.0671654384424,0.0,0.863308977409,0.0671654384424,0.0778,0.0478,0.0,0.00778424641132,0.863308977409,0.0671654384424,1.38777878078e-17,1141.72253889
123, 01/06  04:00:00,0.856990650771,0.06667387263,0.0,0.856990650771,0.06667387263,0.0778,0.0478,0.0,0.00778424641132,0.856990650771,0.06667387263,-1.38777878078e-17,1141.72253889
124, 01/06  05:00:00,0.870721568973,0.0677421380661,0.0,0.870721568973,0.0677421380661,0.0778,0.0478,0.0,0.00778424641132,0.870721568973,0.0677421380661,0.0,1141.72253889
125, 01/06  06:00:00,0.940276113951,0.0731534816654,0.0,0.940276113951,0.0731534816654,0.0778,0.0478,0.0,0.00778424641132,0.940276113951,0.0731534816654,0.0,1141.72253889
126, 01/06  07:00:00,1.19502037924,0.0929725855049,0.0,1.19502037924,0.0929725855049,0.0778,0.0478,0.0,0.00778424641132,1.19502037924,0.0929725855049,0.0,1141.72253889
127, 01/06  08:00:00,1.58370230668,0.12321203946,0.010093,1.57360930668,0.12242680406,0.0778,0.0478,0.0,0.00778424641132,1.57360930668,0.12242680406,0.0007852354,1141.72253889
128, 01/06  09:00:00,1.50167561046,0.0827273093802,0.514575,0.98710061046,0.0543793726302,0.05509,0.02509,0.0,0.00778424641132,0.98710061046,0.0543793726302,0.02834793675,1141.72253889
129, 01/06  10:00:00,1.25299113248,0.0690272814883,1.009129,0.24386213248,0.0134343648783,0.05509,0.02509,0.0,0.00778424641132,0.24386213248,0.0134343648783,0.05559291661,1141.72253889
130, 01/06  11:00:00,1.21476909295,0.0669216293306,2.429649,-1.21487990705,-0.0304813368679,0.05509,0.02509,-1.21487990705,0.130328157429,0.0,0.0,0.0669216293306,1141.72253889
131, 01/06  12:00:00,1.20128308942,0.0661786853961,2.050424,-0.84914091058,-0.0213049454465,0.05509,0.02509,-0.84914091058,0.215980284511,0.0,0.0,0.0661786853961,1141.72253889
132, 01/06  13:00:00,1.15860815864,0.0638277234595,2.135307,-0.97669884136,-0.0245053739297,0.05509,0.02509,-0.97669884136,0.314499072427,0.0,0.0,0.0638277234595,1141.72253889
133, 01/06  14:00:00,1.10847077195,0.0610656548267,2.188397,-1.07992622805,-0.0270953490618,0.05509,0.02509,-1.07992622805,0.423430319728,0.0,0.0,0.0610656548267,1141.72253889
134, 01/06  15:00:00,1.08051954407,0.0595258216828,2.33979,-1.25927045593,-0.0315950957393,0.05509,0.02509,-1.25927045593,0.550451867951,0.0,0.0,0.0595258216828,1141.72253889
135, 01/06  16:00:00,1.15958598576,0.0638815919555,1.6021,-0.44251401424,-0.0111026766173,0.05509,0.02509,-0.44251401424,0.595087883141,0.0,0.0,0.0638815919555,1141.72253889
136, 01/06  17:00:00,1.50093312421,0.263683931261,0.0,1.50093312421,0.263683931261,0.17568,0.14568,1.50093312421,0.443690025502,0.0,0.0,0.263683931261,1141.72253889
137, 01/06  18:00:00,2.12890451164,0.374005944605,0.0,2.12890451164,0.374005944605,0.17568,0.14568,2.12890451164,0.228949223941,0.0,0.0,0.374005944605,1141.72253889
138, 01/06  19:00:00,2.57480712209,0.452342115209,0.0,2.57480712209,0.452342115209,0.17568,0.14568,2.57480712209,-0.0307693976492,0.0,0.0,0.452342115209,1141.72253889
139, 01/06  20:00:00,2.56495904931,0.450612005783,0.0,2.56495904931,0.450612005783,0.17568,0.14568,0.0,-0.0307693976492,2.56495904931,0.450612005783,0.0,1141.72253889
140, 01/06  21:00:00,2.36608622605,0.415674028192,0.0,2.36608622605,0.415674028192,0.17568,0.14568,0.0,-0.0307693976492,2.36608622605,0.415674028192,0.0,1141.72253889
