,Date/Time,Load,Bill Before Solar,Solar,Net Load,Bill Solar Only,Import Rate,Export Rate,basic storage,soc,savings,yearly total savings
67, 01/03  20:00:00,2.39043451097,0.419951534887,0.0,2.39043451097,0.419951534887,0.17568,0.14568,2.39043451097,0.274873596878,2.81038604586,1463.74310634
68, 01/03  21:00:00,2.19817830927,0.386175965373,0.0,2.19817830927,0.386175965373,0.17568,0.14568,2.19817830927,0.0531452058096,2.58435427464,1463.74310634
69, 01/03  22:00:00,2.00070012242,0.155654469524,0.0,2.00070012242,0.155654469524,0.0778,0.0478,0.0,0.0531452058096,0.155654469524,1463.74310634
70, 01/03  23:00:00,1.63675202163,0.127339307283,0.0,1.63675202163,0.127339307283,0.0778,0.0478,0.0,0.0531452058096,0.127339307283,1463.74310634
71, 01/03  24:00:00,1.2758207436,0.0992588538521,0.0,1.2758207436,0.0992588538521,0.0778,0.0478,0.0,0.0531452058096,0.0992588538521,1463.74310634
72, 01/04  01:00:00,0.921234846818,0.0716720710824,0.0,0.921234846818,0.0716720710824,0.0778,0.0478,0.0,0.0531452058096,0.0716720710824,1463.74310634
73, 01/04  02:00:00,0.790076911567,0.0614679837199,0.0,0.790076911567,0.0614679837199,0.0778,0.0478,0.0,0.0531452058096,0.0614679837199,1463.74310634
74, 01/04  03:00:00,0.761663214785,0.0592573981103,0.0,0.761663214785,0.0592573981103,0.0778,0.0478,0.0,0.0531452058096,0.0592573981103,1463.74310634
75, 01/04  04:00:00,0.759315401302,0.0590747382213,0.0,0.759315401302,0.0590747382213,0.0778,0.0478,0.0,0.0531452058096,0.0590747382213,1463.74310634
76, 01/04  05:00:00,0.762101638526,0.0592915074773,0.0,0.762101638526,0.0592915074773,0.0778,0.0478,0.0,0.0531452058096,0.0592915074773,1463.74310634
77, 01/04  06:00:00,0.830410994645,0.0646059753834,0.0,0.830410994645,0.0646059753834,0.0778,0.0478,0.0,0.0531452058096,0.0646059753834,1463.74310634
78, 01/04  07:00:00,1.0898967438,0.0847939666676,0.0,1.0898967438,0.0847939666676,0.0778,0.0478,0.0,0.0531452058096,0.0847939666676,1463.74310634
79, 01/04  08:00:00,1.47220537785,0.114537578397,0.31306,1.15914537785,0.0901815103967,0.0778,0.0478,0.0,0.0531452058096,0.114537578397,1463.74310634
80, 01/04  09:00:00,1.37183170375,0.0755742085596,1.375107,-0.00327529625,-8.21771829125e-05,0.05509,0.02509,-0.00327529625,0.0534755821783,0.0722989123096,1463.74310634
81, 01/04  10:00:00,1.11007839532,0.0611542187982,2.436996,-1.32691760468,-0.0332923627014,0.05509,0.02509,-1.32691760468,0.18732064121,-1.26576338588,1463.74310634
82, 01/04  11:00:00,1.07875643572,0.0594286920438,3.11117,-2.03241356428,-0.0509932563278,0.05509,0.02509,-2.03241356428,0.392328482337,-1.97298487224,1463.74310634
83, 01/04  12:00:00,1.05672055192,0.0582147352053,3.485698,-2.42897744808,-0.0609430441723,0.05509,0.02509,-2.42897744808,0.637337387772,-2.37076271287,1463.74310634
84, 01/04  13:00:00,1.03214748039,0.0568610046947,3.301038,-2.26889051961,-0.056926463137,0.05509,0.02509,-2.26889051961,0.866198459825,-2.21202951492,1463.74310634
